The Cornell Progressive , Event Planning/Publications
Sabor Latino Dance Ensemble , Special Interest
Therapy Thru Music, Community Service
Cuban American Student Association,Cultural
The Skits-O-Phrenics, Performing Arts
Cornell Boxing Club, Recreation/Sports
Cornell Western Equestrian Team, Recreation/Sports
Cornell Sitara, Special Interest
Cornell Hospitality Consulting, Business/Career
"Womens Club Softball, Cornell", Recreation/Sports
Cornell Health International, Special Interest
Cornell University Health Occupations Students of America (HOSA), Special Interest
"ENG - American Society of Mechanical Engineers, Cornell University Chapter", Science/Technology
PBNQ Improvisational Comedy, Performing Arts
Slope Media Group , Science/Technology
Anything Goes, Performing Arts
The Thread Magazine, Event Planning/Publications
Encouraging Young Engineers and Scientists (EYES), Community Service
Cornell Food Recovery Network, Community Service
Cornell University Mens Fencing, Recreation/Sports
Cornell Japanese Animation Society, Special Interest
Global Medical Brigades, Community Service
Haven: The LGBTQ Student Union, Special Interest
Asian American Intervarsity, Religion
CUAir, Science/Technology
Tyler Judge, Recreation/Sports
Cornell Association of Medicine and Philanthropy, Science/Technology
KyotoNOW!, Social Change
Prison Reform and Education Project (formerly TRP), Social Change
International Student Admissions Ambassadors,Cultural
Center for Jewish Living, Religion
Open Source Cornell, Special Interest
Illuminations, Performing Arts
Cornell Catholic Community, Religion
Cornell Tarana, Performing Arts
Cayugas watchers, Event Planning/Publications
Cornell Bhangra, Performing Arts
Cornell Pediatric Cancer Awareness, Community Service
Cornell University Deaf Awareness Project, Social Change
Coalition of Pan-African Scholars,Cultural
Cornell Current, Business/Career
Colleges Against Cancer, Community Service
Cornell Nature Society, Community Service
Cornell Health Advocacy Topics (CHAT), Community Service
Best Buddies, Community Service
Cornell Rocketry Team, Science/Technology
Women in Computing at Cornell, Science/Technology
Engineering Career Fair Team (ECaFT), Business/Career
Cornell Speech and Debate Union, Special Interest
Absolute Zero, Performing Arts
Science Olympiad At Cornell, Science/Technology
TAMID Group, Business/Career
Cru Cornell, Religion
Ellevate Cornell, Special Interest
Cornell Club Water Polo, Recreation/Sports
Cornell Bowling Club, Recreation/Sports
Cornell SEED, Science/Technology
Tzu Chi Collegiate Association, Community Service
Hearsay A Cappella, Performing Arts
Protestant Cooperative Ministry, Religion
Cornell University Dietetics Association, Special Interest
Cornell Finance Club, Business/Career
Cornell Concert Commission, Event Planning/Publications
Collegiate New York Farm Bureau at Cornell University, Special Interest
Unite for Sight, Social Change
Model Congress, Social Change
Cornell Social Venture Club, Social Change
Big Red Sports Network, Event Planning/Publications
Cornell Minds Matter, Community Service
VET - Pre-Veterinary Society, Business/Career
Cornell University Autonomous Underwater Vehicle (CUAUV) Team, Science/Technology
Camp Kesem Cornell, Community Service
Cornell Historical Society, Special Interest
Pandora Dance Troupe, Performing Arts
FootPrints, Community Service
Cornell University Sustainable Design (CUSD), Science/Technology
The Triple Helix-Cornell Chapter, Science/Technology
Cornell Asian Pacific Islander Student Union,Cultural
Cornellians For Israel,Cultural
World Activation: A Coalition for Positive Change, Special Interest
Just About Music (JAM) Musicom, Event Planning/Publications
Big Reg Relief, Social Change
Cornell Triathlon Club, Recreation/Sports
Cornell Caribbean Students Association,Cultural
Take Back the Tap at Cornell, Special Interest
Project Hope, Community Service
Cornell ChemE Car, Science/Technology
Cornell University Emergency Medical Services, Community Service
Digital Gaming Alliance, Special Interest
"Chinese Drama Society, Cornell",Cultural
Cornell Wushu, Recreation/Sports
Cornell Rock Climbing Club, Recreation/Sports
PitO: Paint It Ourselves, Community Service
Cornell Maker Club, Science/Technology
Cornell Business Review, Business/Career
Phi Alpha Delta, Business/Career
Students Against the Sexual Solicitation of Youth (SASSY), Social Change
MiXed,Cultural
APAA, Social Change
Design/Build/Fly, Science/Technology
Cornell Nordic Ski Team, Recreation/Sports
Beekeping Club at Cornell University, Special Interest
Students of Diabetes Awareness, Special Interest
Humor Us! Sketch Comedy, Performing Arts
Shadows Dance Troupe, Performing Arts
Snodgrass and Wigglesworth Cornell Undergraduate Entomology Club, Special Interest
Cornell Democrats, Social Change
Cornell Cycling Club, Recreation/Sports
Cornell Running Club, Recreation/Sports
Amber Dance Troupe, Performing Arts
Beekeeping Club, Special Interest
Cornell Venture Capital, Business/Career
Cornell Club Swimming, Recreation/Sports
The Key Elements, Performing Arts
Capoeira Angola Quintal, Recreation/Sports
D.R.E.A.M. Team, Social Change
Alpha Epsilon Delta, Science/Technology
Cornell Club Field Hockey, Recreation/Sports
Phi Gamma Nu, Business/Career
Lunatic , Event Planning/Publications
